FID,Id,X,y,longitud,latitud
225,0,621017.0000000,9773770.0000000,-79.9117966,-2.0464101
226,0,621018.0000000,9773770.0000000,-79.9117966,-2.0464101
227,0,621019.0000000,9773770.0000000,-79.9117966,-2.0464101
228,0,621020.0000000,9773770.0000000,-79.9117966,-2.0464101
229,0,621021.0000000,9773770.0000000,-79.9117966,-2.0464101
230,0,621022.0000000,9773770.0000000,-79.9117966,-2.0464101
231,0,621023.0000000,9773770.0000000,-79.9117966,-2.0464101
232,0,621024.0000000,9773770.0000000,-79.9117966,-2.0464101
233,0,621025.0000000,9773770.0000000,-79.9117966,-2.0464101
234,0,621026.0000000,9773770.0000000,-79.9116974,-2.0464101
235,0,621027.0000000,9773770.0000000,-79.9116974,-2.0464101
236,0,621013.0000000,9773770.0000000,-79.9119034,-2.0464001
237,0,621014.0000000,9773770.0000000,-79.9117966,-2.0464001
238,0,621015.0000000,9773770.0000000,-79.9117966,-2.0464001
239,0,621016.0000000,9773770.0000000,-79.9117966,-2.0464001
240,0,621017.0000000,9773770.0000000,-79.9117966,-2.0464001
241,0,621018.0000000,9773770.0000000,-79.9117966,-2.0464001
242,0,621019.0000000,9773770.0000000,-79.9117966,-2.0464001
243,0,621020.0000000,9773770.0000000,-79.9117966,-2.0464001
244,0,621021.0000000,9773770.0000000,-79.9117966,-2.0464001
245,0,621022.0000000,9773770.0000000,-79.9117966,-2.0464001
246,0,621023.0000000,9773770.0000000,-79.9117966,-2.0464001
247,0,621024.0000000,9773770.0000000,-79.9117966,-2.0464001
248,0,621025.0000000,9773770.0000000,-79.9117966,-2.0464001
249,0,621026.0000000,9773770.0000000,-79.9116974,-2.0464001
250,0,621027.0000000,9773770.0000000,-79.9116974,-2.0464001
251,0,621013.0000000,9773770.0000000,-79.9119034,-2.0463901
252,0,621014.0000000,9773770.0000000,-79.9117966,-2.0463901
253,0,621015.0000000,9773770.0000000,-79.9117966,-2.0463901
254,0,621016.0000000,9773770.0000000,-79.9117966,-2.0463901
255,0,621017.0000000,9773770.0000000,-79.9117966,-2.0463901
256,0,621018.0000000,9773770.0000000,-79.9117966,-2.0463901
257,0,621019.0000000,9773770.0000000,-79.9117966,-2.0463901
258,0,621020.0000000,9773770.0000000,-79.9117966,-2.0463901
259,0,621021.0000000,9773770.0000000,-79.9117966,-2.0463901
260,0,621022.0000000,9773770.0000000,-79.9117966,-2.0463901
261,0,621023.0000000,9773770.0000000,-79.9117966,-2.0463901
262,0,621024.0000000,9773770.0000000,-79.9117966,-2.0463901
263,0,621025.0000000,9773770.0000000,-79.9117966,-2.0463901
264,0,621026.0000000,9773770.0000000,-79.9116974,-2.0463901
265,0,621027.0000000,9773770.0000000,-79.9116974,-2.0463901
266,0,621013.0000000,9773770.0000000,-79.9119034,-2.0463800
267,0,621014.0000000,9773770.0000000,-79.9117966,-2.0463800
268,0,621015.0000000,9773770.0000000,-79.9117966,-2.0463800
269,0,621016.0000000,9773770.0000000,-79.9117966,-2.0463800
270,0,621017.0000000,9773770.0000000,-79.9117966,-2.0463800
271,0,621018.0000000,9773770.0000000,-79.9117966,-2.0463800
272,0,621019.0000000,9773770.0000000,-79.9117966,-2.0463800
273,0,621020.0000000,9773770.0000000,-79.9117966,-2.0463800
274,0,621021.0000000,9773770.0000000,-79.9117966,-2.0463800
275,0,621022.0000000,9773770.0000000,-79.9117966,-2.0463800
276,0,621023.0000000,9773770.0000000,-79.9117966,-2.0463800
277,0,621024.0000000,9773770.0000000,-79.9117966,-2.0463800
278,0,621025.0000000,9773770.0000000,-79.9117966,-2.0463800
279,0,621026.0000000,9773770.0000000,-79.9116974,-2.0463800
280,0,621027.0000000,9773770.0000000,-79.9116974,-2.0463800
281,0,621031.0000000,9773770.0000000,-79.9116974,-2.0463800
282,0,621032.0000000,9773770.0000000,-79.9116974,-2.0463800
283,0,621033.0000000,9773770.0000000,-79.9116974,-2.0463800
284,0,621034.0000000,9773770.0000000,-79.9116974,-2.0463800
